label,message,cleaned,prediction
spam,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,today voda number end select receiv reward match pleas call quot claim code standard rate appli,1
ham,"Cool, I'll text you in a few",cool text,0
ham,Going to take your babe out ?,go take babe,0
ham,Yay can't wait to party together!,yay wait parti togeth,0
ham,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",fun fact although would think armand would eventu build toler shit consid much smoke get fuck like hit,0
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",good afternoon loverboy goe day luck come way think sweeti send love across sea make smile happi,0
ham,Dare i ask... Any luck with sorting out the car?,dare ask luck sort car,0
ham,";-( oh well, c u later",oh well c u later,0
ham,Its a part of checking IQ,part check iq,0
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story,sure sinc parent work tuesday realli need cover stori,0
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",call hope l r malaria know miss guy miss bani big pls give love especi great day,0
ham,Ho ho - big belly laugh! See ya tomo,ho ho big belli laugh see ya tomo,0
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,msgs r time pass silent say think u right also make u think least moment gd nt swt drms shesil,0
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theori argument win situat lose person dont argu ur friend kick amp say alway correct,0
ham,Thx. All will be well in a few months,thx well month,0
ham,Also track down any lighters you can find,also track lighter find,0
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,guess somebodi know secret fanci wanna find give us call landlin datebox essexcm xn p min,1
ham,Dear reached railway. What happen to you,dear reach railway happen,0
ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,aah cuddl would lush need lot tea soup kind fumbl,0
ham,Lol ok. I'll snatch her purse too.,lol ok snatch purs,0
ham,"Just checked out, heading out to drop off my stuff now",check head drop stuff,0
ham,Yup Ì_ not comin :-(,yup comin,0
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,sms auction brand new nokia auction today auction free join take part txt nokia hg suit land row w j hl,1
ham,Yeah my usual guy's out of town but there're definitely people around I know,yeah usual guy town definit peopl around know,0
ham,Great. P diddy is my neighbor and comes for toothpaste every morning,great p diddi neighbor come toothpast everi morn,0
ham,U guys never invite me anywhere :(,u guy never invit anywher,0
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,put readi lt time gt,0
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,guarante cash prize claim yr prize call custom servic repres pm cost p,1
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,one day crab run sea shore wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox follow ur footprint catch that clear frndsship never let u dwn gud nyt,0
ham,In which place do you want da.,place want da,0
ham,Dear umma she called me now :-),dear umma call,0
ham,Lol no. Just trying to make your day a little more interesting,lol tri make day littl interest,0
ham,Anytime...,anytim,0
ham,Great. Never been better. Each day gives even more reasons to thank God,great never better day give even reason thank god,0
ham,"Sorry, I'll call later",sorri call later,0
ham,Ok enjoy . R u there in home.,ok enjoy r u home,0
ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,oh ya got hip hop open haha think go jazz zoom cine actual tonight free leh kb lesson tonight,0
ham,I know that my friend already told that.,know friend alreadi told,0
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",imposs argu alway treat like sub like never releas remind necessari,0
ham,"So check your errors and if you had difficulties, do correction.",check error difficulti correct,0
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),sell ton coin sell coin someon thru paypal voila money back life pocket,0
ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,twenti past five said train durham alreadi coz reserv seat,0
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,adult would learn experi real danger dont like peep use drug dont need comment,0
ham,"2 celebrate my båÕday, y else?",celebr b day els,0
ham,They said Ì_ dun haf passport or smth like dat.. Or Ì_ juz send to my email account..  ,said dun haf passport smth like dat juz send email account,0
ham,Lol that's different. I don't go trying to find every real life photo you ever took.,lol differ go tri find everi real life photo ever took,0
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",carlo pick swing usf littl bit,0
ham,"Aight, text me tonight and we'll see what's up",aight text tonight see,0
ham,"I'll text carlos and let you know, hang on",text carlo let know hang,0
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",mean post wrote like mani time ritten stuff let sit feel time angri left hit send stop check phone got car said sleep bore time clean fold laundri etc least make bed,0
ham,We can make a baby in yo tho,make babi yo tho,0
ham,Ok lor.,ok lor,0
ham,Can not use foreign stamps in this country.,use foreign stamp countri,0
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,wat make u thk fall actual thk quit prone fall lucki dad home ask come n fetch alreadi,0
ham,Yes its possible but dint try. Pls dont tell to any one k,yes possibl dint tri pls dont tell one k,0
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,dear voucher holder claim st class airport loung pass use holiday voucher call book quot st class x,1
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,talk sexi make new friend fall love world discreet text date servic text vip see could meet,1
ham,No probs hon! How u doinat the mo?,prob hon u doinat mo,0
ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,u think girl propos u today se ur bloodi funki shit fuck face asssssholeee,0
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexi sexi cum text im wet warm readi porn u fun msg free recd msgs p inc vat cancel text stop,1
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",win winner mr foley ipod excit prize soon keep eye ur mobil visit www win co uk,1
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",mani peopl seem special first sight remain special till last sight maintain till life end sh jas,0
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,got got colour lor one colour quit light n e darker lor actual done style hair,0
ham,LOL that would be awesome payback.,lol would awesom payback,0
ham,Well then you have a great weekend!,well great weekend,0
ham,Is fujitsu s series lifebook good?,fujitsu seri lifebook good,0
spam,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,forward free entri week comp send word enter c www textcomp com,1
ham,No chikku nt yet.. Ya i'm free,chikku nt yet ya free,0
ham,Where are you call me.,call,1
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)",dont worri day big lambu ji vl come til enjoy batchlor parti,0
ham,"K, I might come by tonight then if my class lets out early",k might come tonight class let earli,0
ham,....photoshop makes my computer shut down.,photoshop make comput shut,0
ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,hey hey wereth monkeespeopl say monkeyaround howdi gorgeous,0
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,darren say dat u meet da ge den dun meet dinner cos later u leav xy feel awkward den u meet lunch lor,0
ham,Ugh hopefully the asus ppl dont randomly do a reformat.,ugh hope asus ppl dont random reformat,0
ham,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...,use soc use home dunno type word ar,0
ham,I think steyn surely get one wicket:),think steyn sure get one wicket,0
ham,Just taste fish curry :-P,tast fish curri p,0
ham,I've sent Ì_ my part..,sent part,0
ham,Oh is it? Send me the address,oh send address,0
ham,Ok how you dear. Did you call chechi,ok dear call chechi,0
ham,You can jot down things you want to remember later.,jot thing want rememb later,0
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",ok would b love u r sure think wot u want drinkin dancin eatin cinema u wot,0
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,0
ham,10 min later k...,min later k,0
ham,Havent still waitin as usual... ÌÏ come back sch oredi?,havent still waitin usual come back sch oredi,0
ham,K.:)do it at evening da:)urgent:),k even da urgent,0
ham,It vl bcum more difficult..,vl bcum difficult,0
ham,Crucify is c not s. You should have told me earlier.,crucifi c told earlier,0
ham,Full heat pa:-) i have applyed oil pa.,full heat pa appli oil pa,0
ham,You always make things bigger than they are,alway make thing bigger,0
ham,Not course. Only maths one day one chapter with in one month we can finish.,cours math one day one chapter one month finish,0
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",dont search love let love find u that call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,0
ham,Oic... Then better quickly go bathe n settle down...,oic better quick go bath n settl,0
ham,Oh all have to come ah?,oh come ah,0
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,sex ur mobil free sexi pic jordan text babe everi wk get sexi celeb pocketbab co uk pic wk,1
ham,"Until 545 lor... Ya, can go 4 dinner together...",lor ya go dinner togeth,0
ham,Oops i thk i dun haf enuff... I go check then tell Ì_..,oop thk dun haf enuff go check tell,0
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,hi ur lookin sauci daytim fun wiv busti marri woman free next week chat sort time janinexx call minmobsmorelkpobox hp fl,1
ham,DO U WANT 2 MEET UP 2MORRO,u want meet morro,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,0
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.,free text messag valid decemb,1
ham,Dai  &lt;#&gt;  naal eruku.,dai lt gt naal eruku,0
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",said u mind go bedroom minut ok sed sexi mood came minut latr wid cake n wife,0
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,good day pray remov teeth pain maintain stuff,0
ham,Just sent it. So what type of food do you like?,sent type food like,0
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,norm tomorrow finish cos st test need sort librari stuff point tomo got letter today access til end march better get move,0
ham,"Call me da, i am waiting for your call.",call da wait call,1
ham,No problem. Talk to you later,problem talk later,0
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,pls give food prefer pap slowli load sugar take hour give water slowli,0
ham,WHORE YOU ARE UNBELIEVABLE.,whore unbeliev,0
ham,Carry on not disturbing both of you,carri disturb,0
ham,Ya srsly better than yi tho,ya srsli better yi tho,0
ham,Aight what time you want me to come up?,aight time want come,0
ham,Hahaha..use your brain dear,hahaha use brain dear,0
ham,"Aight, can you text me the address?",aight text address,0
ham,Lol ... I knew that .... I saw him in the dollar store,lol knew saw dollar store,0
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,babe talk think good boy miss love,0
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921",nd attempt contract u week top prize either cash prize call,1
ham,Lol yeah at this point I guess not,lol yeah point guess,0
ham,Waiting for your call.,wait call,0
ham,Ok ok take care. I can understand.,ok ok take care understand,0
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",yep great loxahatche xmas tree burn lt gt start hour,0
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",fyi take quick shower epsilon like lt gt min,0
ham,"Come to me right now, Ahmad",come right ahmad,0
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pls repli,0
ham,Also where's the piece,also piec,0
ham,What???? Hello wats talks email address?,hello wat talk email address,0
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,u r beauti girl ive ever seen u r babi come c common room,0
spam,ringtoneking 84484,ringtonek,0
ham,"Nothing, i got msg frm tht unknown no..",noth got msg frm tht unknown,0
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",prize go anoth custom c www c biz p min polo ltd suit london w j hl pleas call back busi,1
ham,Id have to check but there's only like 1 bowls worth left,id check like bowl worth left,0
ham,Good words.... But words may leave u in dismay many times.,good word word may leav u dismay mani time,0
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",wonder phone batteri went dead tell love babe,0
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",hi hun im comin nite tell everi im sorri hope u ava goodtim oli rang melnit ifink mite b sort il explain everythin mon l rs x,0
ham,Alright took the morphine. Back in yo.,alright took morphin back yo,0
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,sms servic inclus text credit pls gotto www comuk net login qxj unsubscrib stop extra charg help comuk cm ae,1
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... ,wah oki oki muz make use e unlimit haha,0
ham,I don't think he has spatula hands!,think spatula hand,0
spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,free entri week comp send word enter c www textcomp com cust care,1
ham,I keep ten rs in my shelf:) buy two egg.,keep ten rs shelf buy two egg,0
ham,Smith waste da.i wanna gayle.,smith wast da wanna gayl,0
ham,Still in customer place,still custom place,0
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",hi darlin youphon im athom youwanna chat,0
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,zoe hit im fuck shitin il defo tri hardest cum morow luv u million lekdog,0
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",loan purpos homeown tenant welcom previous refus still help call free text back help,1
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,st wk free gr tone str u wk txt nokia classic nokia tone hit poli nokia p poli p,1
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",ya referin mei ex wat ah waitin u treat somebodi shld b rich liao gd den u dun work frm tmr onward,0
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent mobil number award prize guarante call land line claim valid hrs ppm,1
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,guarante award even cashto claim ur award call free stop getstop php rg jx,1
ham,Sent me ur email id soon,sent ur email id soon,0
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,sorri miss call let talk time,0
ham,I dont have i shall buy one dear,dont shall buy one dear,0
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,hello damn christma thing think decid keep mp doesnt work,0
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,call germani penc per minut call fix line via access number prepay direct access www telediscount co uk,1
ham,"Hm good morning, headache anyone? :-)",hm good morn headach anyon,0
ham,You could have seen me..i did't recognise you Face.:),could seen recognis face,0
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also differ sure trust ja person send account detail cos,0
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,gonna let know cos come bak holiday day come get text number,0
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,offic what matter msg call break,0
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,tessi pls favor pls convey birthday wish nimya pls dnt forget today birthday shija,0
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,number gonna massiv pain ass rather get involv possibl,0
ham,Fine. Do you remember me.,fine rememb,0
spam,WINNER! As a valued network customer you hvae been selected to receive a å£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,winner valu network custom hvae select receiv reward collect call valid hour acl pm,1
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",rock yr chik get filthi film xxx pic yr phone rpli filth saristar ltd e yt p per day stop cancel,1
ham,Your pussy is perfect!,pussi perfect,0
ham,Havent.,havent,0
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",latest news polic station toilet stolen cop noth go,0
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",rose red red blood blood heart heart u u send tis ur friend includ u like u get back u r poor relat u need support u r frnd mani luv u pray god marri u tri,0
ham,Ok... Help me ask if she's working tmr a not?,ok help ask work tmr,0
ham,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit""",smoke peopl use wyli smoke much justifi ruin shit,0
ham,Reverse is cheating. That is not mathematics.,revers cheat mathemat,0
ham,I'm leaving my house now...,leav hous,0
ham,Sorry that was my uncle. I.ll keep in touch,sorri uncl keep touch,0
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,sunshin quiz win super soni dvd record cannam capit australia text mquiz b,1
ham,No problem. We will be spending a lot of quality time together...,problem spend lot qualiti time togeth,0
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,luton ring ur around h,0
ham,All e best 4 ur driving tmr :-),e best ur drive tmr,0
ham,Yeah right! I'll bring my tape measure fri!,yeah right bring tape measur fri,0
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,uniqu user id remov send stop custom servic,1
ham,Networking technical support associate.,network technic support associ,0
ham,"Sorry battery died, yeah I'm here",sorri batteri die yeah,0
ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,thank u better work caus feel use otherwis,0
